##;;;;;;;;;;;X
##### Open this document in Excel, version 5 or later.;;;;;;;;;;;X
##### To convert the semicolon-separated list to a normal Excel table, first click on the 'A' above to select the entire 'A' column.;;;;;;;;;;;X
##### Select 'Data' -> 'Text to Columns' -> 'Delimited' -> 'Next';;;;;;;;;;;X
##### Check 'Semicolon' (ONLY!) -> 'Finish';;;;;;;;;;;X
##### Select column 'A' through 'K' (click + drag on letters above columns);;;;;;;;;;;X
##### Right-click anywhere on the sheet (inside the selection) and select 'Column width' and set it so that only THREE columns are visible ('45' with 1024 x 768 screen resolution);;;;;;;;;;;X
##### Right-click anywhere on the sheet again (still inside the selection) and select 'Format Cells' -> 'Alignment' -> check 'Wrap Text' + select 'Vertical: Top' -> 'OK';;;;;;;;;;;X
##### Place the cursor in cell C1 and select 'Window' -> 'Freeze Panes' (allows you to scroll horizontally to see any language in the rightmost coulmn while still having the string names/comments and the english original text in the left and middle column;;;;;;;;;;;X
##### CAREFULLY read the instructions in cells B18 ? B36;;;;;;;;;;;X
##;;;;;;;;;;;X
##;;;;;;;;;;;X
##;NOTES TO TRANSLATORS:;;;;;;;;;;X
##;Err:510;;;;;;;;;;X
##;;;;;;;;;;;X
##;1) '%s' is for indicating where another string is inserted, and MAY NEVER BE REMOVED! If there are more than one '%s' in a string, they may NOT CHANGE PLACES.;;;;;;;;;;X
##;###############################################################################################################################################################################################################################################################;;;;;;;;;;X
##;3) '%t' is for indicating where the player's 'title' is inserted, however only in game message boxes.';;;;;;;;;;X
##;###############################################################################################################################################################################################################################################################;;;;;;;;;;X
##;5) A dollar sign, '$' will always automatically be replaced by the 'ducats' icon.;;;;;;;;;;X
##;6) Any row with a '#' in the first column (column 'A') will be ignored. However, you cannot use any paragraph characters in these rows!!!;;;;;;;;;;X
##;7) To insert a carriage return, insert a '\n' (backslash + n);;;;;;;;;;X
##;8) No formatting can be done in this file. To change the color of a text, insert the following codes in front of the word:;;;;;;;;;;X
##;TEXT COLORS:;;;;;;;;;;X
##;ｧA = 0,64,0;;;;;;;;;;X
##;ｧB = 0,0,192;;;;;;;;;;X
##;ｧC = 128,0,0;;;;;;;;;;X
##;ｧD = 255,255,0;;;;;;;;;;X
##;ｧE = 255,0,255;;;;;;;;;;X
##;ｧF = 255,128,0;;;;;;;;;;X
##;ｧG = 0,100,0;;;;;;;;;;X
##;ｧH = 128,128, 128;;;;;;;;;;X
##;ｧI = 0,0,255;;;;;;;;;;X
##;ｧJ = 0,192,0;;;;;;;;;;X
##;ｧM = 100,255,100;;;;;;;;;;X
##;ｧN = 255,100,100;;;;;;;;;;X
##;ｧR = 240,0,0;;;;;;;;;;X
##;ｧW = 255,255,255;;;;;;;;;;X
##;ｧY = 208,232,248;;;;;;;;;;X
##;ｧZ = 0,0,0;;;;;;;;;;X
##;ｧｧ - restores old color;;;;;;;;;;X
##;###############################################################################################################################################################################################################################################################;;;;;;;;;;X
##;###############################################################################################################################################################################################################################################################;;;;;;;;;;X
##;10) ALL CELLS in column 'L' in this document MUST contain a character!;;;;;;;;;;X
##;11) The LAST CELL in the 'A' column MUST contain the string '#EOF';;;;;;;;;;X
##;12) If you want to begin a string with a ' (citation mark), you will need to type it twice (Excel will read the first one as a commentary which is not exported into the actual text database file);;;;;;;;;;X
##;;;;;;;;;;;X
##;WHEN DONE: save as 'Semicolon Separated (.csv)' format, and make sure the file is called 'Text.csv'.;;;;;;;;;;X
##;;;;;;;;;;;X
##;NOTE: If Excel complains about an 'Error in formula' when the cell content begins with a '+' or '-' sign, type a ' (citation mark) in front of the plus or minus.;;;;;;;;;;X
##;;;;;;;;;;;X
##;;;;;;;;;;;X
# STRING NAME (do not change!);English;French;Italian;Spanish;German;Polish;Portuguese;Russian;;Extra2;X
# ========================;========================;========================;========================;========================;========================;========================;========================;========================;;========================;X
ALLIANCE_ENTENTE;協商国;T. Entente;;;;;;;;;X
NPERSONALITY_GOEBBELS;プロパガンダの天才;Master of Propaganda;;;;;;;;;X
DPERSONALITY_GOEBBELS;『パウル・ヨーゼフ・ゲッベルス』（1897年10月29日 - 1945年5月1日）は、ドイツの政治家で、国家社会主義ドイツ労働者党第3代宣伝全国指導者、初代国民啓蒙・宣伝大臣です。「プロパガンダの天才」｢小さなドクトル｣と称され、アドルフ・ヒトラーの政権掌握とナチス党政権下のドイツの体制維持に辣腕を発揮しました。スターリングラードの戦いに敗れた後、1943年2月18日にベルリンのスポーツ宮殿において有名な「総力戦布告演説」を行いました。;During World War II, Goebbels increased his power and influence through shifting alliances with other Nazi leaders. By late 1943, the tide of the war was turning against the Axis powers, but this only spurred Goebbels to intensify the propaganda by urging the Germans to accept the idea of total war and mobilization. Goebbels remained with Hitler in Berlin to the end.;;;;;;;;;X
NPERSONALITY_TODT;トート機関;Organization 'Todt';;;;;;;;;X
DPERSONALITY_TODT;『フリッツ・トート』（1891年9月4日 - 1942年2月7日）はドイツの土木技術者で、1940年から軍需大臣を務めました。1938年5月にトート機関を率い、ジークフリート線、大西洋の壁等の軍事構築物の建設にあたりました。1940年からは軍需大臣となり、弾薬・兵器生産の責任者となりました。;In 1938 Todt founded the Organisation Todt proper as a consortium of the administrative offices which Todt had personally set up in the course of the Autobahn project, private companies as subcontractors and the primary source of technical engineering expertise. In 1941 Todt and his organization were further charged with a large project, the construction of an Atlantic wall to be built on the coasts of occupied France, the Netherlands, and Belgium.;;;;;;;;;X
NPERSONALITY_BALDWIN;宥和主義政治家;Guilty Man;;;;;;;;;X
DPERSONALITY_BALDWIN;『スタンリー・ボールドウィン』（1867年8月3日 - 1947年12月14日）は、イギリスの保守党の政治家、実業家、首相でした。1931年にマクドナルド内閣で枢密院議長として入閣し、1935年マクドナルドが引退すると、その後を受けて組閣（～1937年）。翌年新王エドワード8世のシンプソン夫人との結婚問題について王を退位させました。 ナチス・ドイツに対しては、宥和政策の立場をとりました。;Stanley Baldwin was a British Conservative politician, statesman and Prime Minister. Baldwin was essentially a One Nation Conservative. The onset of the Second World War would change his public image for the worse. Rightly or wrongly, Baldwin, along with Chamberlain and MacDonald, was held responsible for the United Kingdom's military unpreparedness on the eve of war in 1939.;;;;;;;;;X
NPERSONALITY_SINCLAIR;秘密情報局長官;Quex;;;;;;;;;X
DPERSONALITY_SINCLAIR;『サー・ヒュー・シンクレア』（1873年8月18日 - 1939年11月4日）はイギリスの海軍提督で情報部長官でした。1919年から1921年の間に、英国海軍の情報部の責任者で、1923年 - 1939年に秘密情報局（SIS、後のMI6）長官で、1938年、サボタージュ専門のセクションDを設立しました。1938年春、政府暗号学校であるブレッチリー・パークを購入しました。;Admiral Sir Hugh Sinclair was a British intelligence officer. Between 1919 and 1921, he was Director of British Naval Intelligence, and helped to set up the Secret Intelligence Service (SIS, commonly MI6) before the Second World War. In 1938, with a second war looming, Sinclair set up Section D, dedicated to sabotage. In spring of 1938, using his own money, he bought Bletchley Park to be a wartime intelligence station.;;;;;;;;;X
NPERSONALITY_CHAMBERLAIN;平和主義者;The Pacifier;;;;;;;;;X
DPERSONALITY_CHAMBERLAIN;『ネヴィル・チェンバレン』（1869年3月18日 - 1940年11月9日） は、イギリスの政治家で首相でした。イギリスやフランスに対する、軍事増強と領土の拡大を進めるドイツ、イタリアなどとの間で政治的緊張が高まる中、チェンバレンがヒトラーやムッソリーニに対して取った宥和政策は、1938年9月29日のミュンヘン協定で頂点に達しました。結果的にはこれによって第二次世界大戦の開始が1年引き延ばされることになりました。1939年9月1日のドイツ軍のポーランド侵攻を受けて、2日後の9月3日に対独宣戦布告しました。1940年5月10日首相を辞任し、11月9日に死去しました。;Neville Chamberlain was a British Conservative politician who served as Prime Minister of the United Kingdom from May 1937 to May 1940. Chamberlain is best known for his appeasement foreign policy, and in particular for his signing of the Munich Agreement in 1938, conceding the Sudetenland region of Czechoslovakia to Germany.;;;;;;;;;X
NPERSONALITY_HALIFAX;仲裁人;The Appeaser;;;;;;;;;X
DPERSONALITY_HALIFAX;『ハリファックス伯爵エドワード・フレデリック・リンドレー・ウッド』 （1881年4月16日 - 1959年12月23日）は、ハリファックス卿として知られる英国の政治家で、保守党に属し、インド総督、外相などを歴任しました。1937年にはヒトラーと会談して、対独宥和政策の頂点とされるチェコスロバキア・ズデーテン地方のドイツへの割譲を決めたミュンヘン協定（1938年）の締結に尽力しました。;The Viscount Halifax from 1934 until 1944, was one of the most senior British Conservative politicians of the 1930s, during which he held several senior ministerial posts, most notably as Foreign Secretary from 1938 to 1940. As such he is often regarded as one of the architects of the policy of appeasement prior to World War II.;;;;;;;;;X
NPERSONALITY_CIANO;ファシストの闘士;Fascist Crusader;;;;;;;;;X
DPERSONALITY_CIANO;『ジャン・ガレアッツォ・チャーノ』（1903年3月18日 - 1944年1月11日）は、イタリアの政治家、貴族で、第二代コルテッラッツォおよびブッカリ伯爵です。ベニート・ムッソリーニの女婿であり、ファシスト党政権下ではイタリア王国の外務大臣を努めました。;Gian Galeazzo Ciano was an Italian Minister of Foreign Affairs and Benito Mussolini's son-in-law. After 1939, Ciano became increasingly disenchanted with Nazi Germany and the course of World War II, although when the Italian regime embarked in the ill-advised parallel war alongside Germany, he went along fairly convinced, even through the terribly-devised Italian invasion of Greece and its subsequent setbacks. Ciano was effectively executed for dissenting against the Duce's will.;;;;;;;;;X
NPERSONALITY_AUTARKIC;ファシストの創始者;The Fascist Autarkic;;;;;;;;;X
DPERSONALITY_AUTARKIC;『ベニート・アミルカレ・アンドレア・ムッソリーニ』（1883年7月29日 - 1945年4月28日）は、イタリア王国の政治家、第40代イタリア王国首相です。イタリア社会党で活躍したのち追放され、ファシズム理論を独自に構築し、一党独裁制に基づいた統治を確立し実践しました。;Benito Mussolini was an Italian politician who led the National Fascist Party and is credited with being one of the key figures in the creation of Fascism. Mussolini pushed for government control of business: by 1935, Mussolini claimed that three quarters of Italian businesses were under state control. He also attempted to turn Italy into a self-sufficient autarky, instituting high barriers on trade with most countries except Germany.;;;;;;;;;X
NPERSONALITY_PARIANI;戦争大臣;Under-Secretary of War;;;;;;;;;X
DPERSONALITY_PARIANI;『アルベルト・パリアーニ』（1876年 - 1955年）は、イタリアの将軍で、彼は第一次世界大戦中に戦い、第6山岳連隊の指揮官として戦争に参加しました。1934年から1936年まで参謀本部長代理、1936年から1939年まで参謀総長兼戦争大臣でした。;Alberto Pariani was an Italian general. He fought during World War I, and ended the war as a commander of the 6th Alpini Regiment. From 1934 to 1936 he was Deputy Chief of the General Staff, and from 1936 to 1939 he was Chief of the General Staff and Under-Secretary of War.;;;;;;;;;X
NPERSONALITY_CAVAGNARI;古典派提督;Old School Admiral;;;;;;;;;X
DPERSONALITY_CAVAGNARI;『ドメニコ・カヴァニャーリ』（1876年 - 1966年） はイタリアの提督でした。1934年から1940年まで海軍参謀総長で旧式化した戦艦を改装することでイタリアの海軍力を増強することに尽力しました。しかし、時代の主役は大鑑巨砲主義から航空機に移り変わろうとしていました。航空機を積極的に導入しなかったイタリア海軍増強は、最終的に失敗しました。;Domenico Cavagnari was an Italian admiral. He became the chief of staff of the Italian Navy in 1934 and later became the Undersecretary of State governing naval affairs. He was credited with shaping the Italian Navy into a strong force in the Mediterranean Sea, but in fact it was his fault for not introducing naval aviation to Italy. He also opposed the use of radars and carriers.;;;;;;;;;X
NPERSONALITY_MUSSOLINI_FM;急進的国粋主義者;Aggressive Nationalist;;;;;;;;;X
DPERSONALITY_MUSSOLINI_FM;『ベニート・アミルカレ・アンドレア・ムッソリーニ』（1883年7月29日 - 1945年4月28日）は既存の様々な思想（ナショナリズム、コーポラティズム、国家サンディカリスム、帝国主義、反共主義）を理論的に結合し、新しい政治思想としてファシズムを構築しました。対外政策では植民地、及び経済植民地への影響力強化を推進して海外市場の拡張に努めました。;In foreign policy, Mussolini soon shifted from the anti-imperialism of his lead-up to power to an extreme form of aggressive nationalism. He dreamt of making Italy a nation that was 'great, respected, and feared' throughout Europe, and indeed the world. His first steps into foreign policy seemed to portray him as a 'statesman'. Following the Stresa Front against Germany in 1935, Mussolini's policy took a dramatic turning point and revealed itself once again to be that of an aggressive nature.;;;;;;;;;X
NPERSONALITY_LITVINOV;平和的共存主義者;Persuader of Democracies;;;;;;;;;X
DPERSONALITY_LITVINOV;『マクシム・マクシモーヴィッチ・リトヴィノフ』（1876年7月17日 - 1951年12月31日）は、ソビエト連邦の政治家、外交官で、外務人民委員（外務大臣）、駐米大使などを歴任しました。1930年、スターリンによって、外相に任命されました。前任のチチェーリン外相が遂行してきた善隣外交と革命の輸出という二元外交から、ソ連と資本主義諸国との平和的共存に方針を転換し、米ソ国交回復と、国際連盟加盟等の対外関係の緊張緩和がなされました。;Maxim Litvinov was a Russian revolutionary and prominent Soviet diplomat. In 1930, Joseph Stalin appointed Litvinov as People's Commissar for Foreign Affairs. A firm believer in collective security, Litvinov worked very hard to form a closer relationship with France and Britain. In 1933 he successfully persuaded the United States to officially recognize the Soviet government and then he facilitated the acceptance of the USSR into the League of Nations in 1934.;;;;;;;;;X
NPERSONALITY_KAGANOVICH;鉄のラーザリ;Iron Lazar;;;;;;;;;X
DPERSONALITY_KAGANOVICH;『ラーザリ・モイセーエヴィッチ・カガノーヴィチ』（1893年11月22日 - 1991年7月25日）は、ソビエト連邦の政治家・官僚で、ウクライナ共産党第一書記、ソビエト連邦運輸人民委員（運輸大臣）を歴任しました。また、ヨシフ・スターリンの側近を務め、1930年代末の全党協議会において、スターリンの意を受けた「外国のスパイ」と「サボタージュを行う者」を探し出し、迫害する一層の努力が必要だとの演説を行いました。その冷酷無比ゆえに、「鉄のラーザリ」と呼ばれました。;Lazar Kaganovich was a Soviet politician and administrator and one of the main associates of Joseph Stalin. In 1930, Kaganovich became a member of the Soviet Politburo and the First Secretary of the Moscow Obkom of the Communist Party. He also supervised the implementation of many of Stalin's economic policies, including the collectivization of agriculture and rapid industrialization. From 1937 to 1939, he served as Narkom (minister) for Heavy Industry. During 1939 1940, he served as Narkom for the Oil Industry.;;;;;;;;;X
NPERSONALITY_YAGODA;粛清された粛清人;Purged Purger;;;;;;;;;X
DPERSONALITY_YAGODA;『ゲンリフ・グリゴリエヴィッチ・ヤゴーダ』（1891年11月7日 - 1938年3月15日）は、ソビエト連邦の政治家で初代NKVD（内務人民委員部）長官や国家保安総委員を歴任しました。彼は最高指導者ヨシフ・スターリンの命令無しに動くことを決してなかったため、「コウモリ」と呼ばれました。1936年、ヤゴーダは大粛清の第一段階を指揮し、反スターリン派の摘発に当たりました。しかし、スターリンの期待通りに粛清を拡大させることができず、スターリンの失望を買ったため、1936年9月ニコライ・エジョフにその座を取って代わられ、内務人民委員も解任されました。大粛清のさなかヤゴーダ自身も逮捕され、1938年3月15日に処刑されました。;Genrikh Yagoda was a Soviet state security official who served as director of the NKVD, the Soviet Union's Stalin-era security and intelligence agency, from 1934 to 1936. Appointed by Joseph Stalin, Yagoda supervised the arrest, show trial, and execution of the Old Bolsheviks Lev Kamenev and Grigory Zinoviev in 1936, events that manifested the beginnings of the Great Purge. However, he was then arrested and found guilty of treason and conspiracy at the Trial of the Twenty One in March 1938.;;;;;;;;;X
NPERSONALITY_DEEPBATTLEDOCTRINE;縦深攻撃ドクトリンの提唱者;Deep Battle Proponent;;;;;;;;;X
DPERSONALITY_DEEPBATTLEDOCTRINE;『ミハイル・ニコラエヴィッチ・トゥハチェフスキー』（1893年2月16日 - 1937年6月11日）はソビエト連邦の軍人でソ連邦元帥でした。赤軍の機械化を推進。数々の画期的戦術理論を編みだし、赤軍の至宝、あるいは赤いナポレオンと呼ばれました。とりわけ彼の「縦深戦術理論」はその後の軍事理論に大きな影響を与えました。;Mikhail Tukhachevsky was a Marshal of the Soviet Union, commander in chief of the Red Army (1925 1928), and one of the most prominent victims of Joseph Stalin's Great Purge. Tukhachevsky was given a leading role in reforming the army. He held advanced ideas on military strategy, particularly on the use of tanks, motorized infantry and aircraft in combined operations.;;;;;;;;;X
NPERSONALITY_MOLOTOV;人民委員会議議長;Chairman of the Council of People's Commissars;;;;;;;;;X
DPERSONALITY_MOLOTOV;『ヴャチェスラフ・ミハイロヴィッチ・モロトフ』（1890年3月9日 - 1986年11月8日）は、ソビエト連邦の政治家、革命家で、ソビエト連邦首相、外相でした。第二次世界大戦前後の時代を通じてヨシフ・スターリンの片腕としてソ連の外交を主導しました。1930年には人民委員会議議長（首相）に就任し、以降11年間にわたって務めました。1939年5月リトヴィノフ外相の後任として、外相を兼任し、8月には独ソ不可侵条約を締結し世界中を驚愕させました。;Vyacheslav Mikhailovich Molotov was a Soviet politician and diplomat, an Old Bolshevik and a leading figure in the Soviet government from the 1920s to the 1950s. From December 1930 to May 1941 Molotov headed the Soviet government as Chairman of the Council of People's Commissars. Stalin also made Molotov responsible for the process of so-called 'collectivization of agriculture' in which peasants were integrated into collective farms belonging to the state (which however caused a widespread famine in Ukraine in 1932-33). Molotov also oversaw the implementation of the First Five-Year Plan for rapid industrialisation.;;;;;;;;;X
NPERSONALITY_HULL;国際連合の父;Father of United Nations;;;;;;;;;X
DPERSONALITY_HULL;『コーデル・ハル』（1871年10月2日 - 1955年7月23日）は、アメリカ合衆国の政治家で、フランクリン・デラノ・ルーズベルト政権下で1933年から1944年まで国務長官を務めました。彼は国際連合の発案者および熱心な支持者であり、その功績で1945年ノーベル平和賞を受賞し「国際連合の父」と呼ばれました。国務長官としての彼は、太平洋戦争開戦前夜の日米交渉において1941年11月に事実上の対日最後通牒である「ハル・ノート」を提示し、日本側の外交交渉断念と日米開戦に踏み切らせる結果を招きました。;Cordell Hull was an American politician from the U.S.. He is best known as the longest-serving Secretary of State. Hull tried to consolidate the defense system of his country, increasing diplomatic relations with allied countries. Hull was the underlying force and architect in the creation of the United Nations, as recognized by the 1945 Nobel Prize for Peace.;;;;;;;;;X
NPERSONALITY_MORGENTHAU;正統派経済学者;The Orthodox Economist;;;;;;;;;X
DPERSONALITY_MORGENTHAU;『ヘンリー・モーゲンソー』（1891年5月11日 - 1967年2月6日）は、フランクリン・D・ルーズベルト政権におけるアメリカ合衆国財務長官であり、予算の均衡、通貨の安定、国債の縮小、そして民間への投資を重要視し、政治地盤の強化を図りました。社会保障のための資金を支出ではなく、社会保障のための新たな税金を制定し、新たな社会保障制度を確立しました。;Henry Morgenthau, Jr. was the U.S. Secretary of the Treasury during the administration of Franklin D. Roosevelt. He played a major role in designing and financing the New Deal. Morgenthau believed in balanced budgets, stable currency, reduction of the national debt, and the need for more private investment. Morgenthau was an orthodox economist who opposed Keynesian economics.;;;;;;;;;X
NPERSONALITY_HOOVER;FBI長官;Director of FBI;;;;;;;;;X
DPERSONALITY_HOOVER;『ジョン・エドガー・フーバー』（1895年1月1日 - 1972年5月2日）は、アメリカ連邦捜査局（FBI）の初代長官でした。1924年5月10日にFBI長官に任命され、1972年に亡くなるまで長官職にとどまりました。FBIの組織を強化したことや、科学的な捜査手法の導入などが称賛される一方で、自らの権力を盾に、有名人や政財界人に対する諜報活動や恐喝に加え、政治的迫害を行ったことを始めとする、違法かつ利己的な権力行使が批判されるなど、毀誉褒貶が極めて激しい人物でした。 ;John Edgar Hoover was the first director of the Federal Bureau of Investigation (FBI) of the United States. Appointed director of the Bureau of Investigation  predecessor to the FBI  in 1924, he was instrumental in founding the FBI in 1935, where he remained director until his death in 1972. Hoover is credited with building the FBI into a large and efficient crime-fighting agency, and with instituting a number of modern innovations to police technology.;;;;;;;;;X
NPERSONALITY_FRIEDMAN;暗号の天才;The Cryptographer;;;;;;;;;X
DPERSONALITY_FRIEDMAN;『ウィリアム・Ｆ・フリードマン』（1891年9月24日 - 1969年11月12日）は、陸軍情報部で暗号解読の専門家として活躍しました。暗号の天才と言われたフリードマンは、日本の紫暗号（パープルコード）の解読を通じて日本軍の真珠湾奇襲攻撃を事前に予想していました。;William Friedman was a US Army cryptographer who ran the research division of the Army's Signals Intelligence Service (SIS) in the 1930s, and parts of its follow-on services into the 1950s. In 1940, a team lead by him and Frank Rowlett broke Japan's PURPLE cipher, thus disclosing Japanese diplomatic secrets.;;;;;;;;;X
NPERSONALITY_STIMSON;戦争大臣;Secretary of War;;;;;;;;;X
DPERSONALITY_STIMSON;『ヘンリー・ルイス・スティムソン』（1867年9月21日 - 1950年10月20日）は、陸軍長官、フィリピン総督および国務長官を務めたアメリカの政治家です。スティムソンは、ナチス党政権下のドイツに対する攻撃的な姿勢のために、陸軍とその一部である陸軍航空軍の責任者に選ばれ、第二次世界大戦期における民間人出身の陸軍長官として最もよく知られています。1,200万人の陸軍兵と航空兵の動員と訓練、国家工業生産の30％の物資の購買と戦場への輸送、日系人の強制収容の推進、また原子爆弾への関与ではマンハッタン計画を指揮したレズリー・グローヴズ准将を監督し、原爆投下決定を検討したとされる「暫定委員会」の委員長を務めていました。;Henry Lewis Stimson was a Republican Party politician who served twice as Secretary of War (in 1911 1913 and in 1940 1945). After World War II broke out in Europe, President Franklin D. Roosevelt returned Stimson, then aged 73, to his post at the head of the War Department. During the war, Stimson directed the expansion of the military, managing the conscription and training of 13 million soldiers and airmen and the purchase and transportation to battlefields of 30 percent of the nation's industrial output.;;;;;;;;;X
NPERSONALITY_STETTINIUS;初代国連大使;Ambassador to the United Nations;;;;;;;;;X
DPERSONALITY_STETTINIUS;『エドワード・ライリー・ステティニアス』（1900年10月22日 - 1949年10月31日）は、アメリカ合衆国の政治家で、1944年から1945年にかけてフランクリン・ルーズベルト大統領とハリー・トルーマン大統領の下で国務長官を務めました。1945年のサンフランシスコ会議にアメリカ代表団の団長として参加し、国際連合の設立に助力しました。そして国際連合の設立が確定的になると、国連大使となるため国務長官を辞任し、1946年にアメリカ合衆国の初代国連大使となりました。;Edward Stettinius Jr. was United States Secretary of State under Presidents Franklin D. Roosevelt and Harry S. Truman, serving from 1944 to 1945. Stettinius, as chairman of the US delegation to the United Nations Conference on International Organization, was instrumental in the formation of the United Nations and was present at its official founding on June 26, 1945.;;;;;;;;;X
NPERSONALITY_ICKES;内務長官;Secretary of the Interior;;;;;;;;;X
DPERSONALITY_ICKES;『ハロルド・ルクレア・イッキーズ』（1874年3月15日 - 1952年2月3日）は、アメリカ合衆国の政治家で1932年から1946年まで内務長官の職にありました。ルーズベルト大統領のニューディール政策推進に尽力しました。彼は公共事業局（PWA）を運営し、6年間で50億ドル以上を大規模なプロジェクトに費やしました。イッキーズはPWAプロジェクトで黒人労働者の雇用を確立するために、NAACP（全米黒人地位向上協会）のスポークスマンであるウォルター・フランシス・ホワイトと密接に連携しました。また石油採掘権確保のために、サウジアラビア政府から譲歩を引き出しました。;Harold LeClair Ickes was a United States administrator and politician. In 1933 Roosevelt appointed Ickes as his Secretary of the Interior. This involved running the Public Works Administration (PWA) and over the next six years spent more than $5,000,000,000 on various large-scale projects. Ickes, a strong supporter of civil rights, worked closely with Walter Francis White of the NAACP to establish quotas for African American workers in PWA projects. He also obtained concession from the Saudi Arabian government for the extraction of oil.;;;;;;;;;X
NPERSONALITY_AURIOL;通貨切下げ論者;Supporter of Devaluation;;;;;;;;;X
DPERSONALITY_AURIOL;『ジュール・ヴァンサン・オリオール』（1884年8月27日 - 1966年1月1日）は、フランスの政治家、弁護士、ジャーナリストです。1924年代議院財務委員長を経て、1936年レオン・ブルムを首班とする人民戦線内閣で蔵相となったオリオールは1936年9月、経済回復のため米ドルに対してフランを30パーセント切り下ましたが、一層の経済不安を招き1937年春のブルム内閣倒閣の一因となりました。;Vincent Jules Auriol was a French politician who rose to prominence as the Socialists' spokesman on financial affairs. He served as chairman of the Chamber's finance committee in 1924-26 and then as Minister of Finance in the Popular Front government of Leon Blum in 1936-37. His 30 percent devaluation of the franc against the dollar in September 1936 spurred capital flight and economic uncertainty that contributed to Blum's downfall in the spring of 1937.;;;;;;;;;X
NPERSONALITY_DORMOY;反ファシスト政治家;Opposer of the far right;;;;;;;;;X
DPERSONALITY_DORMOY;『マルクス・ドルモイ』（1888年8月1日 - 1941年7月26日）は、フランスの社会主義政治家で、反ファシストを標榜し、レオン・ブルム人民戦線内閣で内務大臣に就任し、1936年から1938年まで、その職にありました。クロア・ド・フーやカグール団等の国粋主義勢力の台頭と戦いました。さらにフランスにおける東欧からの不法移民対策も行いました。;Marx Dormoy was a French socialist politician, noted for his opposition to the far right. From 1936 to 1938 he was Minister of the Interior, and fought the rise of violent far right groups such as the Cagoule. He was also an opponent of illegal immigration of Eastern European political refugees to France.;;;;;;;;;X
NPERSONALITY_GAMELIN_COS;要塞戦論者;Fortifications Supporter;;;;;;;;;X
DPERSONALITY_GAMELIN_COS;『モーリス・ギュスターヴ・ガムラン』（1872年10月20日 - 1958年4月18日）は、フランスの軍人です。1938年に参謀総長に就任し、マジノ線建設を推進しました。1936年、マジノ線は竣工し、総工費は約160億フラン、維持費・補強費として更に140億フランが投じられました。難攻不落を期待されましたが、第二次世界大戦開戦後の1940年にマジノ線を迂回し、アルデンヌからフランス国内に雪崩れ込んだドイツ軍の前に、フランスは満足な抵抗もできぬまま敗北しました。;Maurice Gustave Gamelin was a French general. Gamelin is best remembered for his unsuccessful command of the French military in 1940 during the Battle of France and his steadfast defense of republican values. In 1933 Gamelin rose to command the French Army and oversaw the completion of the Maginot Line defense.;;;;;;;;;X
NPERSONALITY_GAMELIN_COA;静的防御戦術論者;Static Defense Supporter;;;;;;;;;X
DPERSONALITY_GAMELIN_COA;『モーリス・ギュスターヴ・ガムラン』（1872年10月20日 - 1958年4月18日）は、フランスの軍人です。1939年の宣戦布告後、難攻不落のマジノ線で睨み合うだけで、積極的な攻撃計画を実行しせず、ドイツ軍への備えはほとんど考慮しませんでした。さらにフランス軍は無線に積極的に取り組んでいなかったこともあり、前線へ指示を伝達するのに48時間を要したといわれます。ドイツ軍の侵攻前日、侵攻の気配を知らせる情報が次々と司令部に届いていましたが、総司令部は何の対応も取らなかったともいわれています。1940年5月、フランス首相ポール・レイノーによって解任されました。;Maurice Gustave Gamelin was a French general. Gamelin is best remembered for his unsuccessful command of the French military in 1940 during the Battle of France and his steadfast defense of republican values. Gamelin's vision for France's defense was based upon a static defense along the Franco-German border. In September 1939, he ordered his troops back behind the Maginot Line and chose defend the Ardennes with only ten reserve divisions as he considered them impenetrable.;;;;;;;;;X
NPERSONALITY_DELBOS;国際友好論者;Supporter of friendly relations;;;;;;;;;X
DPERSONALITY_DELBOS;『イヴォン・デルボ』（1885年5月7日 -1956年11月15日）はフランス急進社会党の政治家でした。1937年1月、ヒトラーの議会での演説に応えて、再軍備に対抗する代わりに産業発展による仏独の経済協力の必要性を強調しました。また、同年11月18日-19日の閣議で英仏友好関係の発展を強調し、フランスの外交政策方針を披露しました。その10日後、彼はショータン首相とともにロンドンを訪問し、イギリスのチェンバレン首相、イーデン外相と英仏会談を行いました。その後、ワルシャワ、ブカレスト、ベオグラード、プラハを歴訪し、中欧東欧諸国との関係強化に努めました。;Yvon Delbos was a French Radical-Socialist Party politician and minister.In January 1937, in reply to Hitler's Reichstag speech of the previous day, Deblos emphasised the need for Franco-German understanding and for both countries to find new markets so that industrial expansion might replace rearmament. M.Delbos expounded French Foreign Policy in a debate in the Chamber on November 18 - 19, emphasizing Anglo-french friendship and the necessity for its maintenance. He then visited central and eastern European capitals to foster friendly relations with those countries.;;;;;;;;;X
NPERSONALITY_BONNET;軍事費削減の断行者;Opposer to military spending;;;;;;;;;X
