;;;;;;;;;;;X
PROV1205;北京;;;;;;;;;;X
PROV1206;張家口;;;;;;;;;;X
PROV1207;集寧;;;;;;;;;;X
PROV1208;呼和浩特;;;;;;;;;;X
PROV1209;大同;;;;;;;;;;X
PROV1210;保定;;;;;;;;;;X
PROV1211;石家庄;;;;;;;;;;X
PROV1212;邯鄲;;;;;;;;;;X
PROV1213;禹城;;;;;;;;;;X
PROV1214;煙台;;;;;;;;;;X
PROV1215;青島;;;;;;;;;;X
PROV1216;済南;;;;;;;;;;X
PROV1217;連雲港;;;;;;;;;;X
PROV1218;徐州;;;;;;;;;;X
PROV1219;南通;;;;;;;;;;X
PROV1220;揚州;;;;;;;;;;X
PROV1221;合肥;;;;;;;;;;X
PROV1222;阜陽;;;;;;;;;;X
PROV1223;開封;;;;;;;;;;X
PROV1224;安陽;;;;;;;;;;X
PROV1225;太原;;;;;;;;;;X
PROV1226;長治;;;;;;;;;;X
PROV1227;洛陽;;;;;;;;;;X
PROV1228;鄭州;;;;;;;;;;X
PROV1229;南陽;;;;;;;;;;X
PROV1230;信陽;;;;;;;;;;X
PROV1231;襄樊;;;;;;;;;;X
PROV1232;漢口;;;;;;;;;;X
PROV1233;安慶;;;;;;;;;;X
PROV1234;蕪湖;;;;;;;;;;X
PROV1235;南京;;;;;;;;;;X
PROV1236;蘇州;;;;;;;;;;X
PROV1237;上海;;;;;;;;;;X
PROV1238;杭州;;;;;;;;;;X
PROV1239;寧波;;;;;;;;;;X
PROV1240;温州;;;;;;;;;;X
PROV1241;衢州;;;;;;;;;;X
PROV1242;上饒;;;;;;;;;;X
PROV1243;南平;;;;;;;;;;X
PROV1244;福州;;;;;;;;;;X
PROV1245;泉州;;;;;;;;;;X
PROV1246;竜岩;;;;;;;;;;X
PROV1247;厦門;;;;;;;;;;X
PROV1248;汕頭;;;;;;;;;;X
PROV1249;潮安;;;;;;;;;;X
PROV1250;韓州;;;;;;;;;;X
PROV1251;南昌;;;;;;;;;;X
PROV1252;九江;;;;;;;;;;X
PROV1253;武昌;;;;;;;;;;X
PROV1254;憑祥;;;;;;;;;;X
PROV1255;長沙;;;;;;;;;;X
PROV1256;株州;;;;;;;;;;X
PROV1257;衡陽;;;;;;;;;;X
PROV1258;桂林;;;;;;;;;;X
PROV1259;邵陽;;;;;;;;;;X
PROV1260;常徳;;;;;;;;;;X
PROV1261;懐化;;;;;;;;;;X
PROV1262;遵義;;;;;;;;;;X
PROV1263;權陵;;;;;;;;;;X
PROV1264;恩施;;;;;;;;;;X
PROV1265;万県;;;;;;;;;;X
PROV1266;宜昌;;;;;;;;;;X
PROV1267;安康;;;;;;;;;;X
PROV1268;南城;;;;;;;;;;X
PROV1269;西安;;;;;;;;;;X
PROV1270;咸陽;;;;;;;;;;X
PROV1271;延安;;;;;;;;;;X
PROV1272;楡林;;;;;;;;;;X
PROV1273;銀川;;;;;;;;;;X
PROV1274;固原;;;;;;;;;;X
PROV1275;平凉;;;;;;;;;;X
PROV1276;蘭州;;;;;;;;;;X
PROV1277;天水;;;;;;;;;;X
PROV1278;宝鶏;;;;;;;;;;X
PROV1279;南充;;;;;;;;;;X
PROV1280;重慶;;;;;;;;;;X
PROV1281;雅安;;;;;;;;;;X
PROV1282;康定;;;;;;;;;;X
PROV1283;昌都;;;;;;;;;;X
PROV1284;ディマプル;;;;;;;;;;X
PROV1285;ダッカ;;;;;;;;;;X
PROV1286;クミッラ;;;;;;;;;;X
PROV1287;インパール;;;;;;;;;;X
PROV1288;チッタゴン;;;;;;;;;;X
PROV1289;アキャブ;;;;;;;;;;X
PROV1290;カレワ;;;;;;;;;;X
PROV1291;ミッチーナー;;;;;;;;;;X
PROV1292;クンチャウン;;;;;;;;;;X
PROV1293;下関;;;;;;;;;;X
PROV1294;保山;;;;;;;;;;X
PROV1295;ラシオ;;;;;;;;;;X
PROV1296;マンダレイ;;;;;;;;;;X
PROV1297;アラカン;;;;;;;;;;X
PROV1298;バセーン;;;;;;;;;;X
PROV1299;ラングーン;;;;;;;;;;X
PROV1300;プローム;;;;;;;;;;X
PROV1301;トングー;;;;;;;;;;X
PROV1302;シッタン川;;;;;;;;;;X
PROV1303;チャンライ;;;;;;;;;;X
PROV1304;シャン州;;;;;;;;;;X
PROV1305;景洪;;;;;;;;;;X
PROV1306;ルアンプラバン;;;;;;;;;;X
PROV1307;昆明;;;;;;;;;;X
PROV1308;曲靖;;;;;;;;;;X
PROV1309;百色;;;;;;;;;;X
PROV1310;柳州;;;;;;;;;;X
PROV1311;梧州;;;;;;;;;;X
PROV1312;韶関;;;;;;;;;;X
PROV1313;廣州;;;;;;;;;;X
PROV1314;宝安;;;;;;;;;;X
PROV1315;香港;;;;;;;;;;X
PROV1316;澳門;;;;;;;;;;X
PROV1317;江門;;;;;;;;;;X
PROV1318;茂名;;;;;;;;;;X
PROV1319;南寧;;;;;;;;;;X
PROV1320;広州湾;;;;;;;;;;X
PROV1321;海南島;;;;;;;;;;X
PROV1322;高雄;;;;;;;;;;X
PROV1323;台北;;;;;;;;;;X
PROV1324;花蓮;;;;;;;;;;X
PROV1325;欽州;;;;;;;;;;X
PROV1326;ハイフォン;;;;;;;;;;X
PROV1327;文山;;;;;;;;;;X
PROV1328;ハノイ;;;;;;;;;;X
PROV1329;ヴィエンチャン;;;;;;;;;;X
PROV1330;ピッサヌローク;;;;;;;;;;X
PROV1331;コーンケーン;;;;;;;;;;X
PROV1332;ノーマラート;;;;;;;;;;X
PROV1333;ダナン;;;;;;;;;;X
PROV1334;クイニョン;;;;;;;;;;X
PROV1335;ニャチャン;;;;;;;;;;X
PROV1336;パクセ;;;;;;;;;;X
PROV1337;サイゴン;;;;;;;;;;X
PROV1338;ラックジャ;;;;;;;;;;X
PROV1339;バタンバン;;;;;;;;;;X
PROV1340;プノンペン;;;;;;;;;;X
PROV1341;ウボンラーチャタニー;;;;;;;;;;X
PROV1342;ナコーンラーチャタニー;;;;;;;;;;X
PROV1343;バンコク;;;;;;;;;;X
PROV1344;ナコンサワン;;;;;;;;;;X
PROV1345;トンブリ;;;;;;;;;;X
PROV1346;モールメイン;;;;;;;;;;X
PROV1347;クラ;;;;;;;;;;X
PROV1348;シンゴラ;;;;;;;;;;X
PROV1349;アロースター;;;;;;;;;;X
PROV1350;コタバル;;;;;;;;;;X
PROV1351;クアンタン;;;;;;;;;;X
PROV1352;クアラルンプール;;;;;;;;;;X
PROV1353;シンガポール;;;;;;;;;;X
PROV1354;バンカ島;;;;;;;;;;X
PROV1355;メダン;;;;;;;;;;X
PROV1356;デュマイ;;;;;;;;;;X
PROV1357;パダン;;;;;;;;;;X
PROV1358;パレンバン;;;;;;;;;;X
PROV1359;オーストハーフェン;;;;;;;;;;X
PROV1360;成都;;;;;;;;;;X
PROV1361;自貢;;;;;;;;;;X
PROV1362;昭通;;;;;;;;;;X
PROV1363;安順;;;;;;;;;;X
PROV1364;貴陽;;;;;;;;;;X
PROV1365;凱里;;;;;;;;;;X
PROV1366;ボゴロドスコエ;;;;;;;;;;X
PROV1367;ハバロフスク;;;;;;;;;;X
PROV1368;コムソモリスク・ナ・アムーレ;;;;;;;;;;X
PROV1369;テルネイ;;;;;;;;;;X
PROV1370;イマン川;;;;;;;;;;X
PROV1371;野猪河;;;;;;;;;;X
PROV1372;ウラジオストック;;;;;;;;;;X
PROV1373;スパッスク・ダリニー;;;;;;;;;;X
PROV1374;佳木斯;;;;;;;;;;X
PROV1375;牡丹江;;;;;;;;;;X
PROV1376;清津;;;;;;;;;;X
PROV1377;遼源;;;;;;;;;;X
PROV1378;吉林;;;;;;;;;;X
PROV1379;哈爾濱;;;;;;;;;;X
PROV1380;斉斉哈爾;;;;;;;;;;X
PROV1381;漠河;;;;;;;;;;X
PROV1382;海拉爾;;;;;;;;;;X
PROV1383;ボルジャ;;;;;;;;;;X
PROV1384;チタ;;;;;;;;;;X
PROV1385;バヤントゥメン;;;;;;;;;;X
PROV1386;錫林浩特;;;;;;;;;;X
PROV1387;烏蘭浩特;;;;;;;;;;X
PROV1388;赤峰;;;;;;;;;;X
PROV1389;奉天;;;;;;;;;;X
PROV1390;新京;;;;;;;;;;X
PROV1391;惠山;;;;;;;;;;X
PROV1392;咸興;;;;;;;;;;X
PROV1393;新義州;;;;;;;;;;X
PROV1394;安東;;;;;;;;;;X
PROV1395;営口;;;;;;;;;;X
PROV1396;錦西;;;;;;;;;;X
PROV1397;承徳;;;;;;;;;;X
PROV1398;二連浩特;;;;;;;;;;X
PROV1399;サインシャンド;;;;;;;;;;X
PROV1400;;;;;;;;;;;X
PROV1401;;;;;;;;;;;X
PROV1402;;;;;;;;;;;X
PROV1403;;;;;;;;;;;X
PROV1404;ウランバートル;;;;;;;;;;X
PROV1405;コマンドルスキー諸島;;;;;;;;;;X
PROV1406;アリューシャン海溝西部;;;;;;;;;;X
PROV1407;アリューシャン海溝極西部;;;;;;;;;;X
PROV1408;アッツ島;;;;;;;;;;X
PROV1409;マヤ;;;;;;;;;;X
PROV1410;アルダン川;;;;;;;;;;X
PROV1411;オリョクミンスク;;;;;;;;;;X
PROV1412;ボダイボ;;;;;;;;;;X
PROV1413;カチュク;;;;;;;;;;X
PROV1414;ウスチクート;;;;;;;;;;X
PROV1415;タイシェト;;;;;;;;;;X
PROV1416;イルクーツク;;;;;;;;;;X
PROV1417;シュシェンスコイエ;;;;;;;;;;X
PROV1418;キジル;;;;;;;;;;X
PROV1419;ムレン;;;;;;;;;;X
PROV1420;ホブト;;;;;;;;;;X
PROV1421;アルタイ;;;;;;;;;;X
PROV1422;アルマアタ;;;;;;;;;;X
PROV1423;ズイリャノフスク;;;;;;;;;;X
PROV1424;ジャンブル;;;;;;;;;;X
PROV1425;シムケント;;;;;;;;;;X
PROV1426;クジルオルダ;;;;;;;;;;X
PROV1427;タシュケント;;;;;;;;;;X
PROV1428;オシュ;;;;;;;;;;X
PROV1429;フルンゼ;;;;;;;;;;X
PROV1430;カシュガル;;;;;;;;;;X
PROV1431;アクス;;;;;;;;;;X
PROV1432;グルジャ;;;;;;;;;;X
PROV1433;迪化;;;;;;;;;;X
PROV1434;ユスンブラク;;;;;;;;;;X
PROV1435;クムル;;;;;;;;;;X
PROV1436;バヤンホンゴル;;;;;;;;;;X
PROV1437;アルバイヘール;;;;;;;;;;X
PROV1438;ダランザドガド;;;;;;;;;;X
PROV1439;バヤンノール;;;;;;;;;;X
PROV1440;金昌;;;;;;;;;;X
PROV1441;敦煌;;;;;;;;;;X
PROV1442;格爾木;;;;;;;;;;X
PROV1443;西寧;;;;;;;;;;X
PROV1444;玉樹;;;;;;;;;;X
PROV1445;庫爾勒;;;;;;;;;;X
PROV1446;タクラマカン砂漠;;;;;;;;;;X
PROV1447;和田;;;;;;;;;;X
PROV1448;ガル;;;;;;;;;;X
PROV1449;;;;;;;;;;;X
PROV1450;那曲;;;;;;;;;;X
PROV1451;カゴル;;;;;;;;;;X
PROV1452;日喀則;;;;;;;;;;X
PROV1453;ラサ;;;;;;;;;;X
PROV1454;リアン;;;;;;;;;;X
PROV1455;プナカ;;;;;;;;;;X
PROV1456;ロンプール;;;;;;;;;;X
PROV1457;カルカッタ;;;;;;;;;;X
PROV1458;カタック;;;;;;;;;;X
PROV1459;ランチ;;;;;;;;;;X
PROV1460;ジャバルプール;;;;;;;;;;X
PROV1461;ヴィシャカパトナム;;;;;;;;;;X
PROV1462;ナーグプル;;;;;;;;;;X
PROV1463;サトプラ山脈;;;;;;;;;;X
PROV1464;スラト;;;;;;;;;;X
PROV1465;ラージコット;;;;;;;;;;X
PROV1466;アーマダーバード;;;;;;;;;;X
PROV1467;インドール;;;;;;;;;;X
PROV1468;ジャイプール;;;;;;;;;;X
PROV1469;デリー;;;;;;;;;;X
PROV1470;カーンプル;;;;;;;;;;X
PROV1471;ラクナウ;;;;;;;;;;X
PROV1472;ダルバンガー;;;;;;;;;;X
PROV1473;カトマンズ;;;;;;;;;;X
PROV1474;スリナガル;;;;;;;;;;X
PROV1475;ラホール;;;;;;;;;;X
PROV1476;ルディアナ;;;;;;;;;;X
PROV1477;メーラト;;;;;;;;;;X
PROV1478;ビカネール;;;;;;;;;;X
PROV1479;ジョードプル;;;;;;;;;;X
PROV1480;ハイデラバード;;;;;;;;;;X
PROV1481;サッカル;;;;;;;;;;X
PROV1482;ムルタン;;;;;;;;;;X
PROV1483;ペシャワル;;;;;;;;;;X
PROV1484;ファイザーバード;;;;;;;;;;X
PROV1485;スターリナバード;;;;;;;;;;X
PROV1486;カブール;;;;;;;;;;X
PROV1487;サマルカンド;;;;;;;;;;X
PROV1488;ナヴォイ;;;;;;;;;;X
PROV1489;ブハラ;;;;;;;;;;X
PROV1490;アシガバード;;;;;;;;;;X
PROV1491;チャルジョウ;;;;;;;;;;X
PROV1492;ヘラート;;;;;;;;;;X
PROV1493;カンダハル;;;;;;;;;;X
PROV1494;カラチ;;;;;;;;;;X
PROV1495;チャーバハール;;;;;;;;;;X
PROV1496;ビールジャンド;;;;;;;;;;X
PROV1497;バンダルアッバース;;;;;;;;;;X
PROV1498;バボルサル;;;;;;;;;;X
PROV1499;ヤズド;;;;;;;;;;X
PROV1500;マシュハド;;;;;;;;;;X
PROV1501;カヴィール砂漠;;;;;;;;;;X
PROV1502;テヘラン;;;;;;;;;;X
PROV1503;バボル;;;;;;;;;;X
PROV1504;ドゥバイ;;;;;;;;;;X
PROV1505;ボンベイ;;;;;;;;;;X
PROV1506;プネー;;;;;;;;;;X
PROV1507;ハイデラバード;;;;;;;;;;X
PROV1508;ヴィジャヤワダ;;;;;;;;;;X
PROV1509;マドラス;;;;;;;;;;X
PROV1510;セーラム;;;;;;;;;;X
PROV1511;バンガロール;;;;;;;;;;X
PROV1512;コラープル;;;;;;;;;;X
PROV1513;マンガロール;;;;;;;;;;X
PROV1514;コーチン;;;;;;;;;;X
PROV1515;マドゥライ;;;;;;;;;;X
PROV1516;トリンコマリー;;;;;;;;;;X
PROV1517;コロンボ;;;;;;;;;;X
PROV1518;アンダマン諸島;;;;;;;;;;X
PROV1519;ニコバル諸島;;;;;;;;;;X
PROV1520;ウランウデ;;;;;;;;;;X
PROV1521;バルグジン;;;;;;;;;;X
PROV1522;モゴチャ;;;;;;;;;;X
PROV1523;トゥインダ;;;;;;;;;;X
PROV1524;マガダン;;;;;;;;;;X
PROV1525;オホーツク;;;;;;;;;;X
PROV1526;チュミカン;;;;;;;;;;X
PROV1527;ニコライエフスク・ナ・アムーレ;;;;;;;;;;X
PROV1528;ブラゴヴェシチェンスク;;;;;;;;;;X
PROV1529;ビロビジャン;;;;;;;;;;X
PROV1530;黒河;;;;;;;;;;X
PROV1531;ノリリスク;;;;;;;;;;X
PROV1532;トゥーラ;;;;;;;;;;X
PROV1533;イガルカ;;;;;;;;;;X
PROV1534;ポロイ;;;;;;;;;;X
PROV1535;アングチカ;;;;;;;;;;X
PROV1536;ツルハンスク;;;;;;;;;;X
PROV1537;バイキト;;;;;;;;;;X
PROV1538;セヴェロエニセイスク;;;;;;;;;;X
PROV1539;エニセイスク;;;;;;;;;;X
PROV1540;コルパシェヴォ;;;;;;;;;;X
PROV1541;ニズネヴァルトフスク;;;;;;;;;;X
PROV1542;アレクサンドロフスク;;;;;;;;;;X
PROV1543;カルガソク;;;;;;;;;;X
PROV1544;トムスク;;;;;;;;;;X
PROV1545;アシノ;;;;;;;;;;X
PROV1546;ケメロヴォ;;;;;;;;;;X
PROV1547;バルナウル;;;;;;;;;;X
PROV1548;ノヴォシビルスク;;;;;;;;;;X
PROV1549;ルブツォフスク;;;;;;;;;;X
PROV1550;セミパラティンスク;;;;;;;;;;X
PROV1551;パヴロダール;;;;;;;;;;X
PROV1552;オムスク;;;;;;;;;;X
PROV1553;エキバストゥズ;;;;;;;;;;X
PROV1554;カラガンダ;;;;;;;;;;X
PROV1555;バルハシ;;;;;;;;;;X
PROV1556;ウスチカメノゴルスク;;;;;;;;;;X
PROV1557;ビイスク;;;;;;;;;;X
PROV1558;オイロート・トゥラ;;;;;;;;;;X
PROV1559;アバカン;;;;;;;;;;X
PROV1560;クラスノヤルスク;;;;;;;;;;X
PROV1561;アチンスク;;;;;;;;;;X
PROV1562;ケズマ;;;;;;;;;;X
PROV1563;ヴァナヴァラ;;;;;;;;;;X
PROV1564;ムジー;;;;;;;;;;X
PROV1565;サラプール;;;;;;;;;;X
PROV1566;ベレズニキ;;;;;;;;;;X
PROV1567;ウファ;;;;;;;;;;X
PROV1568;ウラリスク;;;;;;;;;;X
PROV1569;グリエフ;;;;;;;;;;X
PROV1570;チカロフ;;;;;;;;;;X
PROV1571;セーロフ;;;;;;;;;;X
PROV1572;スヴェルドロフスク;;;;;;;;;;X
PROV1573;ニジニタギル;;;;;;;;;;X
PROV1574;チェリャビンスク;;;;;;;;;;X
PROV1575;クルガン;;;;;;;;;;X
PROV1576;コスタナイ;;;;;;;;;;X
PROV1577;オルスク;;;;;;;;;;X
PROV1578;アクチュビンスク;;;;;;;;;;X
PROV1579;クルサルィ;;;;;;;;;;X
PROV1580;チェルカル;;;;;;;;;;X
PROV1581;トゥルガイ;;;;;;;;;;X
PROV1582;アラルスク;;;;;;;;;;X
PROV1583;フォートシェフチェンコ;;;;;;;;;;X
PROV1584;クングラド;;;;;;;;;;X
PROV1585;ヌクス;;;;;;;;;;X
PROV1586;カザリンスク;;;;;;;;;;X
PROV1587;バイコヌール;;;;;;;;;;X
PROV1588;ジェズカズガン;;;;;;;;;;X
PROV1589;サマルカンド;;;;;;;;;;X
PROV1590;アクモリンスク;;;;;;;;;;X
PROV1591;コクチェタフ;;;;;;;;;;X
PROV1592;ペトロパヴロフスク;;;;;;;;;;X
PROV1593;チュメニ;;;;;;;;;;X
PROV1594;トボリスク;;;;;;;;;;X
PROV1595;;;;;;;;;;;X
PROV1596;スルグト;;;;;;;;;;X
PROV1597;ハンティ・マンシイスク;;;;;;;;;;X
PROV1598;タルコサレ;;;;;;;;;;X
PROV1599;硫黄島;;;;;;;;;;X
PROV1600;ビキニ;;;;;;;;;;X
PROV1601;エニウェトク;;;;;;;;;;X
PROV1602;ウォッジェ;;;;;;;;;;X
PROV1603;マロエラップ;;;;;;;;;;X
PROV1604;ウォレライ;;;;;;;;;;X
PROV1605;マジュロ;;;;;;;;;;X
PROV1606;ミリ;;;;;;;;;;X
PROV1607;ジャルート;;;;;;;;;;X
PROV1608;クェゼリン;;;;;;;;;;X
PROV1609;コシャエ;;;;;;;;;;X
PROV1610;ポナペ;;;;;;;;;;X
PROV1611;ナウル;;;;;;;;;;X
PROV1612;サタワン;;;;;;;;;;X
PROV1613;トラック;;;;;;;;;;X
PROV1614;ヴェララヴェラ;;;;;;;;;;X
PROV1615;ウルル;;;;;;;;;;X
PROV1616;プルスク;;;;;;;;;;X
PROV1617;ウォレアイ;;;;;;;;;;X
PROV1618;ウルシー;;;;;;;;;;X
PROV1619;ヤップ;;;;;;;;;;X
PROV1620;ヌグル;;;;;;;;;;X
PROV1621;パラオ;;;;;;;;;;X
PROV1622;コロンバンガラ;;;;;;;;;;X
PROV1623;;;;;;;;;;;X
PROV1624;グアム;;;;;;;;;;X
PROV1625;ロタ;;;;;;;;;;X
PROV1626;テニアン;;;;;;;;;;X
PROV1627;サイパン;;;;;;;;;;X
PROV1628;バタヴィア;;;;;;;;;;X
PROV1629;チラチャップ;;;;;;;;;;X
PROV1630;スマラン;;;;;;;;;;X
PROV1631;ジョグジャカルタ;;;;;;;;;;X
PROV1632;スラバヤ;;;;;;;;;;X
PROV1633;マラン;;;;;;;;;;X
PROV1634;マドゥラ;;;;;;;;;;X
PROV1635;バリ;;;;;;;;;;X
PROV1636;ロンボク;;;;;;;;;;X
PROV1637;スンバワ;;;;;;;;;;X
PROV1638;スンバ;;;;;;;;;;X
PROV1639;フローレス;;;;;;;;;;X
PROV1640;マカッサル;;;;;;;;;;X
PROV1641;バンジェルマシン;;;;;;;;;;X
PROV1642;ポンティアナク;;;;;;;;;;X
PROV1643;スミタウ;;;;;;;;;;X
PROV1644;クチン;;;;;;;;;;X
PROV1645;マハカム;;;;;;;;;;X
PROV1646;ミリ;;;;;;;;;;X
PROV1647;ジェセルトン;;;;;;;;;;X
PROV1648;タラカン;;;;;;;;;;X
PROV1649;サマリンダ;;;;;;;;;;X
PROV1650;バリクパパン;;;;;;;;;;X
PROV1651;パル;;;;;;;;;;X
PROV1652;ケンダリ;;;;;;;;;;X
PROV1653;メナド;;;;;;;;;;X
PROV1654;ヘルマヘラ;;;;;;;;;;X
PROV1655;ブル;;;;;;;;;;X
PROV1656;セラム;;;;;;;;;;X
PROV1657;西チモール;;;;;;;;;;X
PROV1658;東チモール;;;;;;;;;;X
PROV1659;ソロン;;;;;;;;;;X
PROV1660;バボ;;;;;;;;;;X
PROV1661;ビアク島;;;;;;;;;;X
PROV1662;ココナウ;;;;;;;;;;X
PROV1663;アラレ;;;;;;;;;;X
PROV1664;サルミ;;;;;;;;;;X
PROV1665;ホランディア;;;;;;;;;;X
PROV1666;アイタペ;;;;;;;;;;X
PROV1667;ウエワク;;;;;;;;;;X
PROV1668;アドミラルティー諸島;;;;;;;;;;X
PROV1669;ニューアイルランド;;;;;;;;;;X
PROV1670;ラバウル;;;;;;;;;;X
PROV1671;ガスマタ;;;;;;;;;;X
PROV1672;ラエ;;;;;;;;;;X
PROV1673;アガッツ;;;;;;;;;;X
PROV1674;メラウケ;;;;;;;;;;X
PROV1675;ケレマ;;;;;;;;;;X
PROV1676;ビスマルク山脈;;;;;;;;;;X
PROV1677;ブナ;;;;;;;;;;X
PROV1678;オーエンスタンリー山脈;;;;;;;;;;X
PROV1679;ポートモレスビー;;;;;;;;;;X
PROV1680;ミルネ湾;;;;;;;;;;X
PROV1681;ブーカ島;;;;;;;;;;X
PROV1682;ブーゲンヴィル;;;;;;;;;;X
PROV1683;ショートランド島;;;;;;;;;;X
PROV1684;ニュージョージア;;;;;;;;;;X
PROV1685;ガダルカナル;;;;;;;;;;X
PROV1686;サンタクルス諸島;;;;;;;;;;X
PROV1687;マーレ;;;;;;;;;;X
PROV1688;バンク諸島;;;;;;;;;;X
PROV1689;エスピリトゥサント;;;;;;;;;;X
PROV1690;エファーテ;;;;;;;;;;X
PROV1691;リフー;;;;;;;;;;X
PROV1692;ヌーメア;;;;;;;;;;X
PROV1693;ケアンズ;;;;;;;;;;X
PROV1694;ウェイパ;;;;;;;;;;X
PROV1695;ノーマントン;;;;;;;;;;X
PROV1696;タウンズヴィル;;;;;;;;;;X
PROV1697;ヒューエンデン;;;;;;;;;;X
PROV1698;ロックハンプトン;;;;;;;;;;X
PROV1699;ブラックオール;;;;;;;;;;X
PROV1700;マウントイサ;;;;;;;;;;X
PROV1701;ボロルーラ;;;;;;;;;;X
PROV1702;ヌーランボイ;;;;;;;;;;X
PROV1703;ダーウィン;;;;;;;;;;X
PROV1704;キャサリン;;;;;;;;;;X
PROV1705;バロウクリーク;;;;;;;;;;X
PROV1706;ウィンダム;;;;;;;;;;X
PROV1707;ウェイヴヒル;;;;;;;;;;X
PROV1708;ブルーム;;;;;;;;;;X
PROV1709;ゴールズワーシー;;;;;;;;;;X
PROV1710;カーナーヴォン;;;;;;;;;;X
PROV1711;ジェラルトン;;;;;;;;;;X
PROV1712;パース;;;;;;;;;;X
PROV1713;エスペランス;;;;;;;;;;X
PROV1714;ラヴァートン;;;;;;;;;;X
PROV1715;ギブソン砂漠;;;;;;;;;;X
PROV1716;ペノング;;;;;;;;;;X
PROV1717;ポートリンカーン;;;;;;;;;;X
PROV1718;ポートオーガスタ;;;;;;;;;;X
PROV1719;バーズヴィル;;;;;;;;;;X
PROV1720;キルピー;;;;;;;;;;X
PROV1721;ミッチェル;;;;;;;;;;X
PROV1722;ブリズベン;;;;;;;;;;X
PROV1723;コフスハーバー;;;;;;;;;;X
PROV1724;ニューカッスル;;;;;;;;;;X
PROV1725;ウェントワース;;;;;;;;;;X
PROV1726;コバー;;;;;;;;;;X
PROV1727;シドニー;;;;;;;;;;X
PROV1728;キャンベラ;;;;;;;;;;X
PROV1729;タスマニア;;;;;;;;;;X
PROV1730;メルボルン;;;;;;;;;;X
PROV1731;ヘイ;;;;;;;;;;X
PROV1732;マウントガンビア;;;;;;;;;;X
PROV1733;アデレード;;;;;;;;;;X
PROV1734;ブロークンヒル;;;;;;;;;;X
PROV1735;パラワン;;;;;;;;;;X
PROV1736;ミンドロ;;;;;;;;;;X
PROV1737;マニラ;;;;;;;;;;X
PROV1738;バターン;;;;;;;;;;X
PROV1739;クラークフィールド;;;;;;;;;;X
PROV1740;リンガエン湾;;;;;;;;;;X
PROV1741;アパリ;;;;;;;;;;X
PROV1742;ラモン湾;;;;;;;;;;X
PROV1743;レガスピ;;;;;;;;;;X
PROV1744;サマール;;;;;;;;;;X
PROV1745;レイテ;;;;;;;;;;X
PROV1746;パナイ;;;;;;;;;;X
PROV1747;ネグロス;;;;;;;;;;X
PROV1748;ザンボアンガ;;;;;;;;;;X
PROV1749;カガヤン;;;;;;;;;;X
PROV1750;ダバオ;;;;;;;;;;X
PROV1751;タヒチ;;;;;;;;;;X
PROV1752;フィジー;;;;;;;;;;X
PROV1753;ヴァヌアレヴ;;;;;;;;;;X
PROV1754;ラウ諸島;;;;;;;;;;X
PROV1755;タヴェウニ;;;;;;;;;;X
PROV1756;サモア;;;;;;;;;;X
PROV1757;タマナ;;;;;;;;;;X
PROV1758;アロラエ;;;;;;;;;;X
PROV1759;タビテウエア;;;;;;;;;;X
PROV1760;ノノウチ;;;;;;;;;;X
PROV1761;アパママ;;;;;;;;;;X
PROV1762;フェニックス島;;;;;;;;;;X
PROV1763;クリスマス島;;;;;;;;;;X
PROV1764;ジャーヴィス島;;;;;;;;;;X
PROV1765;パルミラ;;;;;;;;;;X
PROV1766;ジョンソン島;;;;;;;;;;X
PROV1767;マキン;;;;;;;;;;X
PROV1768;アバイアン;;;;;;;;;;X
PROV1769;タラワ;;;;;;;;;;X
PROV1770;マイアナ;;;;;;;;;;X
PROV1771;メゼニ;;;;;;;;;;X
PROV1772;ウフタ;;;;;;;;;;X
PROV1773;スィクトゥイフカル;;;;;;;;;;X
PROV1774;コテルニク;;;;;;;;;;X
PROV1775;ヨシカル・オラ;;;;;;;;;;X
PROV1776;チェボクサリ;;;;;;;;;;X
PROV1777;サランスク;;;;;;;;;;X
PROV1778;ウリヤノフスク;;;;;;;;;;X
PROV1779;;;;;;;;;;;X
PROV1780;カザン;;;;;;;;;;X
PROV1781;メレケス;;;;;;;;;;X
PROV1782;イジェフスク;;;;;;;;;;X
PROV1783;キーロフ;;;;;;;;;;X
PROV1784;小笠原諸島;;;;;;;;;;X
PROV1785;南鳥島;;;;;;;;;;X
PROV1786;ウェーク島;;;;;;;;;;X
PROV1787;ラシト;;;;;;;;;;X
PROV1788;ハマダン;;;;;;;;;;X
PROV1789;バクタラン;;;;;;;;;;X
PROV1790;ヒッラ;;;;;;;;;;X
PROV1791;カルバラ;;;;;;;;;;X
PROV1792;ダマスカス;;;;;;;;;;X
PROV1793;トリポリ;;;;;;;;;;X
PROV1794;ベイルート;;;;;;;;;;X
PROV1795;ゴラン;;;;;;;;;;X
PROV1796;アンマン;;;;;;;;;;X
PROV1797;エルサレム;;;;;;;;;;X
PROV1798;テルアヴィヴ;;;;;;;;;;X
PROV1799;ガザ;;;;;;;;;;X
PROV1800;エルアリシュ;;;;;;;;;;X
PROV1801;シャルムエルシェイク;;;;;;;;;;X
PROV1802;アカバ;;;;;;;;;;X
PROV1803;バイル;;;;;;;;;;X
PROV1804;メディナ;;;;;;;;;;X
PROV1805;ジャウフ;;;;;;;;;;X
PROV1806;ナジャフ;;;;;;;;;;X
PROV1807;リヤド;;;;;;;;;;X
PROV1808;ジッダ;;;;;;;;;;X
